price,msrp,cpu,cpuNum,ram,storage,gpu,screnSize,Resolution,os,brand,name,weight,rating,ratingLen
279,279,Intel Celeron,7Y75,4 gigabytes,32 gigabytes,Intel UHD Graphics,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,C731TC42N,2.87 pounds,5,1
129,129.99,Intel Celeron,3205U,4 gigabytes,16 gigabytes,,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,C740-C4PE,,4.4,36
279,279.99,,9120C,4 gigabytes,32 gigabytes,,15.6 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.H8TAA.003,,4.1,16
265,299.99,Intel Celeron,N4020,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.H8VAA.006,2.76 pounds,,
229,229,Intel Celeron,N3060,4 gigabytes,16 gigabytes,,15.6 inches,1366 x 768 (HD),Chrome OS,Acer,GSRF CB3-532-C8DF,,,
357,429.99,Intel Celeron,N4120,4 gigabytes,128 gigabytes,Intel UHD Graphics 600,11.6 inches,1920 x 1080 (Full HD),Windows 10 Pro,Acer,NX.VN2AA.001,3.28 pounds,5,1
147,199.99,Intel Celeron,N4000,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,15.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKBAA.002,4.19 pounds,4,37
578,600.99,AMD Ryzen 7 Microsoft Surface Edition,AMD Ryzen 7 4700U,8 gigabytes,512 gigabytes,,14 inches,1920 x 1080 (Full HD),,Acer,NX.HSEAA.003,,1,1
532,723.99,Intel 8th Generation Core i5,Intel Core i5-1035G1,8 gigabytes,256 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10,Acer,NX.HQ7AA.009,3.31 pounds,,
248,248.99,MediaTek,MediaTek M8173C,4 gigabytes,64 gigabytes,,13.3 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.GL4AA.018,,2,1
299,499,AMD Ryzen 3 3000 Series,3250C,4 gigabytes,64 gigabytes,AMD Radeon,14 inches,1920 x 1080 (Full HD),Chrome OS,Acer,CP514-1H-R4HQ,3.42 pounds,4.4,124
899,899.99,Intel 11th Generation Core i5,i5-1135G7,8 gigabytes,256 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,Acer,NX.VP2AA.001,3.09 pounds,,
359,559,AMD Ryzen 3 3000 Series,3250C,8 gigabytes,64 gigabytes,AMD Radeon,14 inches,1920 x 1080 (Full HD),Chrome OS,Acer,CP514-1H-R0VX,3.42 pounds,2.3,3
629,629,AMD Ryzen 5 3000 Series,3500C,8 gigabytes,128 gigabytes,AMD Radeon,14 inches,1920 x 1080 (Full HD),Chrome OS,Acer,CP514-1HH-R0SS,3.42 pounds,4.8,6
981,981.99,Intel 10th Generation Core i7,i7,16 gigabytes,512 gigabytes,,13.5 inches,2256 x 1504,,Acer,NX.HQUAA.006,,5,1
258,258.99,MediaTek,MT8183,4 gigabytes,32 gigabytes,,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HUVAA.005,,2,1
164,214.99,Intel Celeron,N4000,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,14 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKDAA.002,4.6 pounds,1,1
709,879.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,512 gigabytes,Other,13.5 inches,2256 x 1504,Windows 10,Acer,NX.HQUAA.002,3.8 pounds,,
299,311.99,AMD 3rd Generation Ryzen 3,3200U,4 gigabytes,128 gigabytes,,15.6 inches,1920 x 1080 (Full HD),,Acer,NX.HG8AA.001,,5,1
149,208.99,Intel Celeron,N4000,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKFAA.005,3.6 pounds,,
238,247.99,MediaTek,MT8183,4 gigabytes,64 gigabytes,,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HUVAA.004,,4.5,2
518,518.99,Intel 10th Generation Core i5,i5,8 gigabytes,256 gigabytes,,15.6 inches,1366 x 768 (HD),,Acer,NX.HS5AA.007,,,
1099,1099.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,Acer,NX.VP2AA.002,3.09 pounds,,
1299,1299.99,Intel 11th Generation Core i7,Intel® Core™ i7-1165G7,16 gigabytes,1000 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,SF514-55TA-74EC,,,
160,248.99,MediaTek,MT8183,4 gigabytes,64 gigabytes,Other,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HUVAA.003,2.65 pounds,3.8,4
200,233.99,Intel Celeron,N4000,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKKAA.005,2.65 pounds,5,1
909,909.99,Intel 10th Generation Core i5,Not provided,16 gigabytes,512 gigabytes,Intel Iris Plus Graphics,13.5 inches,2256 x 1504,Windows 10,Acer,NX.HQUAA.005,2.65 pounds,2.5,2
228,228.99,Intel Celeron,N4000,4 gigabytes,32 gigabytes,Intel UHD Graphics 600,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKGAA.001,2.43 pounds,,
484,627.99,Intel 10th Generation Core i5,Not provided,8 gigabytes,256 gigabytes,Intel Iris Plus Graphics,13.5 inches,2256 x 1504,Windows 10 Home,Acer,NX.HQWAA.004,2.65 pounds,,
2399,2399.99,Intel 11th Generation Core i7,11800H,16 gigabytes,1000 gigabytes,NVIDIA GeForce RTX 3080,16 inches,2560 x 1600,Windows 10 Home,Acer,PT516-51s-71Q2,5.29 pounds,4,2
499,499,Intel Pentium,N6000,8 gigabytes,64 gigabytes,Intel UHD Graphics,17.3 inches,1920 x 1080 (Full HD),Chrome OS,Acer,CB317-1HT-P5PF,4.85 pounds,4.3,52
211,249,MediaTek,MT8183C,4 gigabytes,32 gigabytes,Other,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,CB311-11H-K04N,2.2 pounds,4.5,615
999,999.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,256 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Pro,Acer,NX.VP4AA.001,3.09 pounds,,
679,679.99,Intel 11th Generation Core i5,1135G7,8 gigabytes,512 gigabytes,Other,14 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NX.VPKAA.002,3.53 pounds,,
153,207.99,AMD A-Series A4,9120C,4 gigabytes,64 gigabytes,AMD Radeon,11.6 inches,1366 x 768 (HD),Chrome OS,Acer,NX.A2NAA.003,3.31 pounds,,
259,259.99,Intel Celeron,N4000,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,14 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.HKDAA.005,3.75 pounds,,
1035,1035.99,Intel 11th Generation Core i7,1165G7,16 gigabytes,1000 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NX.A6SAA.003,2.31 pounds,,
653,653.99,Intel 11th Generation Core i5,1135G7,12 gigabytes,512 gigabytes,Intel Iris Xe Graphics,15.6 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NX.A2EAA.00B,4.19 pounds,1,2
192,239.99,Intel Celeron,N4000,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,14 inches,1366 x 768 (HD),Chrome OS,Acer,NX.HKEAA.003,3.75 pounds,,
578,725.99,Intel 11th Generation Core i7,1165G7,8 gigabytes,256 gigabytes,Intel Iris Xe Graphics,14 inches,1920 x 1080 (Full HD),Windows 10 Home,Acer,NX.A5UAA.006,2.65 pounds,,
171,311.99,Intel Celeron,N4020,4 gigabytes,64 gigabytes,Intel UHD Graphics 600,15.6 inches,1920 x 1080 (Full HD),Chrome OS,Acer,NX.HKCAA.008,3.59 pounds,5,3
