cpu,r20Single,r20Multi,r23Single,r23Multi
Intel Core i9-12900HK,643,7040,1673,18373
Intel Core i9-12900H,734.5,6494.5,1915.5,16699.5
Intel Core i7-12800H,700.5,5557,1813.5,15088
Apple M1 Max,392.5,2742.5,1531.5,12385.5
Apple M1 Pro,393,2721,1534,12370
Intel Core i9-11980HK,594,4568.5,1559,10923
AMD Ryzen 9 6900HX,601,5461,1529,14120
Intel Core i9-11900H,605.5,4950.5,1575,12720
AMD Ryzen 9 6900HS,616,5125.5,1557,13318
AMD Ryzen 9 5900HX,577,4927,1486,12791.5
Intel Core i7-12700H,691,6247,1795,16753
AMD Ryzen 9 5980HS,602.5,4651,1529,12629
Apple M1 Pro 8-Core,,,1531,9581
Intel Core i9-11950H,619.5,4664.5,1591,12206.5
AMD Ryzen 9 5900HS,571.5,4895.5,1475.5,12745.5
Intel Core i7-11850H,595,4244.5,1532.5,10857
Intel Core i7-11800H,580.5,4706,1507.5,12197
AMD Ryzen 7 5800H,554,4685,1420,12173
AMD Ryzen 9 4900H,493.5,4409,1294,11604
Intel Core i9-10980HK,489,3883,1287,10590.5
AMD Ryzen 9 4900HS,495,4288,,
Intel Core i7-11600H,,4073,,
Intel Xeon W-10885M,495.5,3882.5,1300,6893
Intel Core i9-10885H,489,3639,1289.5,9438
Intel Core i7-1280P,,,,11480
AMD Ryzen 5 5600H,535,3721,1368.5,9830
AMD Ryzen 7 5800U,555,3303,1425,8111
AMD Ryzen 7 PRO 5850U,548,3417,1405,8716
AMD Ryzen 7 4800H,485,4339.5,1253.5,11135.5
Intel Core i7-10875H,483.5,3391.5,1241.5,8889.5
Intel Core i9-9980HK,478.5,3475,,
Intel Core i7-10870H,473.5,3632,1226,9892.5
AMD Ryzen 7 4800HS,482,3869,,
Intel Core i9-9880H,465,3235,1174,8747
AMD Ryzen 7 4980U,492,3453,1260,9164
AMD Ryzen 7 5700U,490,3370,1256.5,8675
Intel Core i9-8950HK,442.5,2651.5,,
Intel Xeon E-2276M,484,2782.5,,
Intel Core i5-11400H,564.5,3314,1412.5,8746
AMD Ryzen 7 4800U,480,3230.5,1235,9006.5
Intel Core i7-9850H,439.5,2114,,
Intel Core i7-9750H,442,2599,,
Intel Core i7-1270P,595,3167,1552,8426
Intel Core i5-11260H,,3831,,8990
Intel Core i7-1260P,664,3733,1766,10092
AMD Ryzen 5 4600H,452,3234,1148,7935
Intel Core i7-10850H,494,2636,,
Intel Core i7-10750H,472,2941,1217,7463.5
Intel Core i5-10500H,450,2996,1161,6820
Intel Core i7-11390H,614,2362,1602,6379
Intel Core i7-11375H,606,2569,1578,6663
AMD Ryzen 7 PRO 4750U,469,3203,1215,8359
Apple M1,402.5,2093.5,1514.5,7800.5
Intel Core i7-1195G7,558.5,1898,1452,5175.5
Intel Core i7-11370H,583.5,2249,1502,5786
Intel Core i7-1185G7,563,2097,1457,5504
Intel Core i7-8850H,441,2522,1096,5742
Intel Core i7-8750H,412.5,2336.5,,
AMD Ryzen 7 4700U,466,2647,1220.5,7378
Intel Core i7-1165G7,562.5,1991,1454,5156
Intel Core i7-10810U,434,1767,1155,4754
Intel Core i7-10710U,460,2303,863,4079
Intel Core i5-1155G7,550,2173,1419,5612
AMD Ryzen 5 5600U,536,3067,1358.5,8463.5
AMD Ryzen 5 PRO 5650U,531,2488,1363,6429
AMD Ryzen 5 4680U,451,2478,1163,7073
AMD Ryzen 5 5500U,457,2694.5,1172.5,7151
AMD Ryzen 5 4600U,447,2544,,
AMD Ryzen 5 PRO 4650U,453.5,2599,,
Intel Core i5-11320H,560,2319,1456,5980
Intel Core i5-11300H,533.5,2237,1392,5604
Intel Core i5-10400H,471,1924,,
Intel Core i5-1145G7,531,1693,1388,4769
Intel Core i5-1135G7,515,1854,1343.5,4990
Intel Core i5-10300H,455.5,2113.5,1121,4863.5
AMD Ryzen 5 4500U,447.5,2219,1152,5920
Intel Core i7-8809G,404,2005,,
Intel Core i5-10200H,419,2082,1089,5372
Intel Core i5-1038NG7,438,1998,,
Intel Core i7-8705G,414,1883,,
Intel Core i5-9300H,419,1737,,
Intel Core i7-8559U,466,1691,,
