gpu,FireStrike,TimeSpy
NVIDIA GeForce RTX 3080 Ti Laptop GPU,30821,12060
NVIDIA GeForce RTX 3080 Laptop GPU,27316.5,10836
NVIDIA GeForce RTX 3070 Ti Laptop GPU,27776,10462
NVIDIA RTX A5000 Laptop GPU,27271,10307
AMD Radeon RX 6800M,34596,11313
NVIDIA RTX A4000 Laptop GPU,25130,10309
NVIDIA GeForce RTX 2080 Super Mobile,24960,10313
NVIDIA GeForce RTX 3070 Laptop GPU,25477.5,9619
AMD Radeon RX 6800S,27397,9246
AMD Radeon RX 6700M,27924,8988.5
NVIDIA GeForce RTX 2080 Mobile,25436,9854
NVIDIA Quadro RTX 5000 (Laptop),23034.5,9332
NVIDIA RTX A3000 Laptop GPU,18725.5,7033
NVIDIA GeForce RTX 3060 Laptop GPU,20312,7997
NVIDIA GeForce RTX 2070 Super Mobile,22016,8272
NVIDIA GeForce RTX 2080 Super Max-Q,21902.5,8331
NVIDIA Quadro RTX 5000 Max-Q,19790,7396
NVIDIA GeForce RTX 2080 Max-Q,20703,7923
NVIDIA GeForce RTX 2070 Mobile,20392,7738
NVIDIA GeForce GTX 1080 Mobile,21394,6917
NVIDIA Quadro RTX 4000 (Laptop),18849,7284
AMD Radeon RX 6600M,24515,8023.5
NVIDIA GeForce RTX 2070 Super Max-Q,20872.5,7373.5
NVIDIA Quadro RTX 4000 Max-Q,17049,6764
NVIDIA GeForce RTX 2070 Max-Q,17335,6661
NVIDIA Quadro P5200,18467,6422
NVIDIA Quadro RTX 3000 (Laptop),14841.5,5589
NVIDIA GeForce RTX 2060 Mobile,16331,6141
NVIDIA Quadro RTX 3000 Max-Q,13617,5048
NVIDIA GeForce GTX 1080 Max-Q,18191.5,5868.5
NVIDIA GeForce GTX 1070 Mobile,17236.5,5485
NVIDIA GeForce RTX 2060 Max-Q,14909.5,5638.5
NVIDIA RTX A2000 Laptop GPU,13298.5,5103
AMD Radeon RX 5600M,17652.5,5933.5
NVIDIA Quadro P5000,14666,3882.5
NVIDIA GeForce GTX 1660 Ti Mobile,14818,5659
NVIDIA GeForce RTX 3050 Ti Laptop GPU,13739,5415.5
NVIDIA GeForce GTX 1070 Max-Q,14678.5,4708
NVIDIA GeForce GTX 1660 Ti Max-Q,13355,5084.5
NVIDIA GeForce RTX 3050 Laptop GPU,12673.5,4800
NVIDIA GeForce GTX 980 (Laptop),13047,
NVIDIA Quadro P4000,12259,3960
NVIDIA GeForce GTX 1060 Mobile,11558,3580.5
NVIDIA GeForce GTX 1650 Ti Mobile,9881.5,3609.5
AMD Radeon RX 5500M,12111,4298
AMD Radeon Pro 5500M,10399,3364
NVIDIA Quadro P4000 Max-Q,12312,
NVIDIA Quadro P3200,12554.5,4356
AMD Radeon RX 580 (Laptop),11261,3505
NVIDIA GeForce MX570,,3610
AMD Radeon RX 5300M,10306,3566.5
NVIDIA Quadro P3000,9255.5,2864
NVIDIA GeForce GTX 1650 Mobile,9313,3488
NVIDIA GeForce GTX 1060 Max-Q,10430,3324
NVIDIA GeForce GTX 1650 Ti Max-Q,8564,3098
NVIDIA Quadro T2000 Max-Q,8261.5,3094
AMD Radeon RX 470 (Laptop),10715,
NVIDIA GeForce GTX 1650 Max-Q,7779,3016
NVIDIA T1200 Laptop GPU,10200,3623
NVIDIA Quadro T1000 (Laptop),8727,3261
Intel Arc A350M,7318,3197
NVIDIA T500 Laptop GPU,4224.5,1787.5
NVIDIA GeForce GTX 980M,9682,2805
AMD Radeon RX Vega M GH,10248,2908
NVIDIA Quadro M5000M,9227.5,
AMD Radeon Pro Vega 20,9043.5,2600.5
NVIDIA GeForce GTX 1050 Ti Mobile,7740.5,2326
NVIDIA GeForce MX550,,2470
AMD Radeon 680M,6848,2292
NVIDIA Quadro P2000,6847,2046
NVIDIA Quadro P2000 Max-Q,6742,2049
